232,"QDP_SCENARIO_COUNT_HISTORY","Scenario Counts History","Scenario Counts History",0,"N",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
234,"QDP_DEBUG_PROFILES","Debug Profiles turned on","All Debug Profiles Turned on",0,"N",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
192,"QDP_STAT_APPLICATIONS","NULL","NULL",1,"Stats","select fa.APPLICATION_ID, fa.APPLICATION_SHORT_NAME, fa.APPLICATION_NAME,  fa.PRODUCT_CODE,
fa.BASEPATH, ai.PRODUCT_VERSION, decode(ai.STATUS,'I','Installed','N','Not Installed','S','Shared Install')Status,
 ai.PATCH_LEVEL
from FND_application_VL@XXX fa,
FND_PRODUCT_INSTALLATIONS@XXX ai
Where fa.application_id = ai.application_id","NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
801,"HZ_CREDIT_SETUP_ISSUES","Credit check issues at customer level","Credit check issues at customer or address",9,"Health",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
802,"HZ_CREDIT_AMOUNTS_STATS","All credit amounts at Customer level","All Credit Amounts at Customer Level",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
803,"HZ_CUSTOMER_STATS","ALL CUSTOMERS MAIN RECORDS","All Customers Main records",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
804,"HZ_CUSTOMER_ADDRESS_STATS","All Customer Address ","All Customer Address ",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
805,"HZ_CUST_ADDRESS_USAGE_STATS","All Customers Address Usage","All Customers Address Usage",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
806,"HZ_CUSTOMER_CONTACTS","All Customer Contacts","All Customer Contacts",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
807,"HZ_CUSTOMER_MERGE_STATS","All Customer Merges","All Customer Merges",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
808,"HZ_CUSTOMER_ACTIVITY","Summary of Customer Activity on sales orders","Summary of Customer Activity on Sales Orders",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
809,"HZ_CUSTOMER_FEATURES","HZ: FEATURES","Customer Features not Being Used",9,"Feature"," select  'Customer Data Quality Managment' Feature_function, decode(max(i.created_by), null,0,1)Implemented
from HZ_DQM_STAGE_LOG@xxx i ","NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
811,"HZ_INTERFACE_COUNT_STAT","Customer  Interface Tables","Customer  Interface Tables",9,"Interface",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
812,"HZ_SITE_CONTACTS","All Customer contacts at the address level","All Customer Contacts at the Address Level",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
813,"HZ_SITE_CREDIT_SETUP_ISSUES","Credit check issues at site level","Credit Check Issues at Site Level",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
814,"HZ_SITE_CREDIT_AMOUNTS_STATS","All credit amounts at Address level","All Credit Amounts at Address Level",9,"Stats",,"NULL","Original",,"NULL","NULL","NULL","NULL","NULL"
